 001 Giovanni Ballarin                        Logit model

 Logit[prob(Y(i)=1)] = b1*UNO(i) + b2*EDU(i) + b3*WAIT(i) + b4*SPNSR(i) 

         Y      1       EDU     WAIT    SPNSR 
   68    0.     1.0     0.0     2.0  -0.705199321511834
   69    0.     1.0     0.0     4.0   0.080969978915930
   70    1.     1.0     4.0     4.0   0.329685492123958
   71    1.     1.0     3.0     3.0  -0.360659087152362
   72    1.     1.0     3.0     4.0   1.107081795109205
   73    1.     1.0     4.0     3.0   1.145589102963721
   74    1.     1.0     2.0     5.0   0.396914342224885
   75    0.     1.0     1.0     8.0  -0.736072071285318
   76    1.     1.0     0.0     7.0   1.663220016575457
   77    0.     1.0     1.0     8.0  -0.736072071285318
   78    1.     1.0     2.0     5.0   0.396914342224885
   79    1.     1.0     4.0     3.0   1.145589102963721
   80    1.     1.0     3.0     4.0   1.107081795109205
   81    1.     1.0     3.0     3.0  -0.360659087152362
   82    1.     1.0     4.0     4.0   0.329685492123958
   83    0.     1.0     0.0     4.0   0.080969978915930
   84    0.     1.0     0.0     2.0  -0.705199321511834
   85    0.     1.0     1.0     2.0  -1.079599537479198
   86    0.     1.0     2.0     3.0   1.088397360862688
   87    1.     1.0     4.0     4.0   0.598349550135878
   88    0.     1.0     3.0     2.0   0.186580465675480
   89    0.     1.0     3.0     2.0   0.186580465675480
   90    1.     1.0     3.0     6.0   1.355922979513125
   91    1.     1.0     5.0     3.0  -0.437799374057290
   92    0.     1.0     4.0     3.0  -0.869391332125688
   93    1.     1.0     3.0     6.0   1.221590950507164
   94    0.     1.0     0.0     3.0   0.628209531743773
   95    0.     1.0     1.0     3.0  -1.358175032295120
   96    0.     1.0     0.0     3.0   0.628209531743773
   97    1.     1.0     3.0     6.0   1.221590950507164
   98    0.     1.0     4.0     3.0  -0.869391332125688
   99    0.     1.0     5.0     3.0  -0.437799374057290
  100    0.     1.0     3.0     6.0   1.355922979513125
  101    0.     1.0     3.0     2.0   0.186580465675480
  102    1.     1.0     3.0     2.0   0.186580465675480
  103    1.     1.0     4.0     4.0   0.598349550135878
  104    0.     1.0     2.0     3.0   1.088397360862688
  105    0.     1.0     1.0     2.0  -1.079599537479198
  106    0.     1.0     0.0     2.0  -0.705199321511834
  107    0.     1.0     0.0     4.0   0.080969978915930
  108    1.     1.0     4.0     4.0   0.329685492123958
  109    0.     1.0     3.0     3.0  -0.360659087152362
  110    0.     1.0     3.0     4.0   1.107081795109205
  111    0.     1.0     4.0     3.0   1.145589102963721
  112    1.     1.0     2.0     5.0   0.396914342224885
  113    0.     1.0     1.0     8.0  -0.736072071285318
  114    1.     1.0     0.0     7.0   1.663220016575457
  115    0.     1.0     1.0     8.0  -0.736072071285318
  116    1.     1.0     2.0     5.0   0.396914342224885
  117    1.     1.0     4.0     3.0   1.145589102963721
  118    1.     1.0     3.0     4.0   1.107081795109205
  119    0.     1.0     3.0     3.0  -0.360659087152362
  120    1.     1.0     4.0     4.0   0.329685492123958
  121    0.     1.0     0.0     4.0   0.080969978915930
  122    0.     1.0     0.0     2.0  -0.705199321511834
  123    0.     1.0     1.0     2.0  -1.079599537479198
  124    0.     1.0     2.0     3.0   1.088397360862688
  125    1.     1.0     4.0     4.0   0.598349550135878
  126    1.     1.0     3.0     2.0   0.186580465675480
  127    0.     1.0     3.0     2.0   0.186580465675480
  128    1.     1.0     3.0     6.0   1.355922979513125
  129    0.     1.0     5.0     3.0  -0.437799374057290
  130    1.     1.0     4.0     3.0  -0.869391332125688
  131    1.     1.0     3.0     6.0   1.221590950507164
  132    0.     1.0     0.0     3.0   0.628209531743773
  133    0.     1.0     1.0     3.0  -1.358175032295120
  134    0.     1.0     0.0     3.0   0.628209531743773
  135    1.     1.0     3.0     6.0   1.221590950507164
  136    0.     1.0     4.0     3.0  -0.869391332125688
  137    0.     1.0     5.0     3.0  -0.437799374057290
  138    1.     1.0     3.0     6.0   1.355922979513125
  139    0.     1.0     3.0     2.0   0.186580465675480
  140    0.     1.0     3.0     2.0   0.186580465675480
  141    1.     1.0     4.0     4.0   0.598349550135878
  142    0.     1.0     2.0     3.0   1.088397360862688
  143    0.     1.0     1.0     2.0  -1.079599537479198
  144    0.     1.0     0.0     2.0  -0.705199321511834
  145    1.     1.0     0.0     4.0   0.080969978915930
  146    1.     1.0     4.0     4.0   0.329685492123958
  147    0.     1.0     3.0     3.0  -0.360659087152362
  148    1.     1.0     3.0     4.0   1.107081795109205
  149    1.     1.0     4.0     3.0   1.145589102963721
  150    1.     1.0     2.0     5.0   0.396914342224885
  151    1.     1.0     1.0     8.0  -0.736072071285318
  152    1.     1.0     0.0     7.0   1.663220016575457
  153    0.     1.0     1.0     8.0  -0.736072071285318
  154    0.     1.0     2.0     5.0   0.396914342224885
  155    1.     1.0     4.0     3.0   1.145589102963721
  156    1.     1.0     3.0     4.0   1.107081795109205
  157    0.     1.0     3.0     3.0  -0.360659087152362
  158    1.     1.0     4.0     4.0   0.329685492123958
  159    0.     1.0     0.0     4.0   0.080969978915930
  160    0.     1.0     0.0     2.0  -0.705199321511834
  161    1.     1.0     1.0     2.0  -1.079599537479198
  162    1.     1.0     2.0     3.0   1.088397360862688
  163    1.     1.0     4.0     4.0   0.598349550135878
  164    1.     1.0     3.0     2.0   0.186580465675480
  165    0.     1.0     3.0     2.0   0.186580465675480
  166    1.     1.0     3.0     6.0   1.355922979513125
  167    1.     1.0     5.0     3.0  -0.437799374057290
  168    0.     1.0     4.0     3.0  -0.869391332125688
  169    1.     1.0     3.0     6.0   1.221590950507164
  170    1.     1.0     0.0     3.0   0.628209531743773
  171    0.     1.0     1.0     3.0  -1.358175032295120
  172    0.     1.0     0.0     3.0   0.628209531743773
  173    1.     1.0     3.0     6.0   1.221590950507164
  174    0.     1.0     4.0     3.0  -0.869391332125688
  175    0.     1.0     5.0     3.0  -0.437799374057290
  176    1.     1.0     3.0     6.0   1.355922979513125
  177    0.     1.0     3.0     2.0   0.186580465675480
  178    0.     1.0     3.0     2.0   0.186580465675480
  179    0.     1.0     4.0     4.0   0.598349550135878
  180    1.     1.0     2.0     3.0   1.088397360862688
  181    0.     1.0     1.0     2.0  -1.079599537479198
  182    0.     1.0     0.0     2.0  -0.705199321511834
  183    0.     1.0     0.0     4.0   0.080969978915930
  184    1.     1.0     4.0     4.0   0.329685492123958
  185    1.     1.0     3.0     3.0  -0.360659087152362
  186    1.     1.0     3.0     4.0   1.107081795109205
  187    0.     1.0     4.0     3.0   1.145589102963721
  188    0.     1.0     2.0     5.0   0.396914342224885
  189    1.     1.0     1.0     8.0  -0.736072071285318
  190    1.     1.0     0.0     7.0   1.663220016575457
  191    1.     1.0     1.0     8.0  -0.736072071285318
  192    1.     1.0     2.0     5.0   0.396914342224885
  193    0.     1.0     4.0     3.0   1.145589102963721
  194    1.     1.0     3.0     4.0   1.107081795109205
  195    1.     1.0     3.0     3.0  -0.360659087152362
  196    1.     1.0     4.0     4.0   0.329685492123958
  197    0.     1.0     0.0     4.0   0.080969978915930
  198    0.     1.0     0.0     2.0  -0.705199321511834
  199    0.     1.0     1.0     2.0  -1.079599537479198
